Policy Number,Years_Drv_Exp,Number_Vehicles,Average_Age,Gender_Dummy,Married_Dummy,Avg_Veh_Age,Fuel_Type_Dummy,Losses,Capped_Losses
150024,5,1,20.6,1,0,12.97,0,203,203
144880,10,1,42.4,0,1,8.02,0,402,402
133742,37,1,42.4,1,0,2.5,1,553,553
151282,31,1,42.4,0,0,12.97,0,292,292
174407,3,1,20.6,1,1,12.97,0,247,247
142548,8,1,42.4,1,0,8.02,0,385,385
183396,19,1,42.4,0,1,2.5,0,462,462
106838,49,1,65.1,0,0,12.97,0,169,169
137434,48,1,65.1,1,1,2.5,0,70,70
192628,0,1,20.6,0,1,12.97,0,243,243
154894,1,1,20.6,1,1,12.97,1,764,764
187293,8,1,42.4,0,1,12.97,0,407,407
173214,1,1,20.6,0,0,12.97,0,162,162
163905,49,1,65.1,1,0,8.02,0,243,243
157356,27,1,42.4,1,0,8.02,0,359,359
160387,40,1,42.4,1,0,12.97,0,315,315
127360,48,1,65.1,1,1,12.97,0,307,307
108345,1,1,20.6,1,1,12.97,1,773,773
122164,49,1,65.1,1,1,2.5,1,593,593
103555,45,1,65.1,1,0,2.5,0,275,275
165177,27,1,42.4,0,1,8.02,0,473,473
140896,0,1,20.6,1,1,12.97,1,877,877
197555,10,1,42.4,0,1,2.5,1,825,825
198709,49,1,65.1,0,1,8.02,0,273,273
155134,3,1,20.6,0,1,12.97,0,221,221
104183,16,1,42.4,1,1,12.97,0,169,169
131927,48,1,65.1,0,0,2.5,0,98,98
146242,22,1,42.4,1,0,2.5,1,680,680
138988,22,1,42.4,0,0,12.97,0,210,210
102189,2,1,20.6,0,0,8.02,0,354,354
128861,49,1,65.1,0,0,8.02,0,156,156
101564,12,1,42.4,1,0,2.5,1,671,671
105052,13,1,42.4,1,1,2.5,0,447,447
116579,47,1,65.1,1,0,2.5,0,109,109
171608,47,1,65.1,0,0,8.02,0,120,120
171105,30,1,42.4,1,1,8.02,0,455,455
152298,4,1,20.6,1,1,8.02,1,846,846
196222,32,1,42.4,1,1,12.97,0,274,274
197889,18,1,42.4,0,1,2.5,1,791,791
109945,14,1,42.4,0,1,8.02,0,355,355
120208,20,1,42.4,1,0,2.5,1,523,523
144803,47,1,65.1,1,1,2.5,0,347,347
167746,39,1,42.4,0,1,2.5,0,382,382
140463,6,1,20.6,1,1,12.97,1,748,748
193913,26,1,42.4,1,0,8.02,0,391,391
193219,29,1,42.4,1,0,12.97,0,330,330
196673,1,1,20.6,1,1,8.02,1,905,905
101665,19,1,42.4,0,1,8.02,0,387,387
152722,0,1,20.6,1,0,12.97,0,482,482
181720,12,1,42.4,1,0,12.97,0,178,178
196090,6,1,20.6,1,0,8.02,1,597,597
137351,36,1,42.4,1,1,8.02,0,449,449
116625,47,1,65.1,0,0,2.5,0,219,219
120268,41,1,65.1,0,0,8.02,0,228,228
181439,41,1,65.1,0,1,2.5,1,720,720
182975,0,1,20.6,1,1,8.02,1,951,951
119576,21,1,42.4,1,1,12.97,0,369,369
101760,1,1,20.6,0,0,12.97,0,191,191
124401,19,1,42.4,1,1,8.02,1,503,503
132104,0,1,20.6,1,0,12.97,0,265,265
185013,51,1,65.1,1,1,8.02,0,342,342
118353,3,1,20.6,0,0,12.97,0,205,205
157903,9,1,42.4,1,1,2.5,1,707,707
114055,10,1,42.4,0,1,2.5,1,865,865
174077,2,1,20.6,0,0,8.02,0,435,435
155060,3,1,20.6,1,1,2.5,1,1096,1096
151384,2,1,20.6,1,0,12.97,0,373,373
127729,47,1,65.1,1,0,12.97,0,48,48
198511,25,1,42.4,0,1,12.97,0,447,447
153908,0,1,20.6,1,1,12.97,1,665,665
169358,4,1,20.6,1,0,12.97,0,317,317
108996,40,1,65.1,1,1,2.5,0,389,389
140129,4,1,20.6,0,1,12.97,0,406,406
198046,42,1,65.1,0,1,12.97,0,46,46
149010,0,1,20.6,1,0,12.97,0,355,355
151476,0,1,20.6,0,1,12.97,0,297,297
136743,43,1,65.1,0,1,2.5,0,217,217
171560,20,1,42.4,1,0,8.02,0,376,376
146306,48,1,65.1,1,1,12.97,0,26,26
111448,7,1,42.4,0,0,2.5,1,606,606
149440,42,1,42.4,1,1,12.97,0,351,351
122855,45,1,65.1,0,0,12.97,0,16,16
162634,8,1,42.4,1,1,2.5,1,739,739
187253,2,1,20.6,0,0,12.97,0,183,183
156505,3,1,20.6,1,0,12.97,0,311,311
115303,46,1,65.1,0,0,12.97,0,260,260
157222,17,1,42.4,0,0,8.02,0,322,322
163555,27,1,42.4,1,1,8.02,1,596,596
138553,42,1,65.1,1,0,12.97,0,162,162
185458,8,1,20.6,1,0,12.97,1,525,525
102319,30,1,42.4,0,0,8.02,0,330,330
140871,6,1,20.6,1,1,12.97,0,414,414
132547,23,1,42.4,1,0,2.5,1,593,593
198278,2,1,20.6,0,1,12.97,0,412,412
110208,16,1,42.4,0,1,8.02,0,395,395
160827,53,1,65.1,0,0,8.02,0,59,59
183596,27,1,42.4,1,1,2.5,1,575,575
130589,44,1,65.1,0,1,2.5,0,85,85
103014,29,1,42.4,1,1,8.02,1,552,552
188352,50,1,65.1,1,1,8.02,0,78,78
161398,34,1,42.4,1,0,8.02,0,314,314
147805,8,1,20.6,1,1,2.5,1,3500,1200
190621,0,1,20.6,1,1,12.97,0,3250,1200
161675,48,1,65.1,1,1,8.02,0,2850,1200
165974,43,1,65.1,0,1,8.02,0,2535,1200
152551,34,1,42.4,1,0,2.5,1,2852,1200
142085,7,1,20.6,0,0,12.97,0,2879,1200
191297,20,1,42.4,0,0,2.5,1,2814,1200
164185,6,1,20.6,0,1,8.02,1,2879,1200
122992,32,1,42.4,0,1,12.97,0,3462,1200
110488,15,1,42.4,1,1,8.02,0,3333,1200
111434,45,1,65.1,0,1,12.97,0,3227,1200
176699,49,1,65.1,0,0,2.5,0,235,235
157408,45,1,65.1,0,0,2.5,0,61,61
104797,7,1,20.6,1,1,8.02,1,751,751
167022,38,1,42.4,0,0,8.02,0,315,315
112619,0,1,20.6,1,1,8.02,1,1197,1197
178782,0,1,20.6,0,1,12.97,1,611,611
130506,1,1,20.6,1,1,12.97,1,868,868
173005,38,1,42.4,0,0,12.97,0,284,284
196406,33,1,42.4,1,0,12.97,0,143,143
151636,37,1,42.4,1,1,8.02,0,443,443
119860,5,1,20.6,1,1,12.97,1,1087,1087
100079,3,1,20.6,1,0,2.5,1,682,682
135252,35,1,42.4,1,0,12.97,0,269,269
145276,16,1,42.4,1,0,2.5,0,430,430
157539,16,1,42.4,0,1,12.97,0,218,218
178158,40,1,65.1,0,0,8.02,0,288,288
153763,11,1,42.4,0,0,2.5,0,387,387
184637,2,1,20.6,0,1,12.97,0,233,233
129471,4,1,20.6,0,0,12.97,0,296,296
172740,13,1,42.4,0,1,8.02,0,382,382
170777,42,1,65.1,1,1,2.5,0,98,98
140244,25,1,42.4,0,1,2.5,0,427,427
149411,0,1,20.6,1,1,12.97,1,535,535
155380,1,1,20.6,0,0,12.97,0,323,323
128261,47,1,65.1,1,0,2.5,0,313,313
103771,52,1,65.1,0,0,12.97,0,29,29
179862,0,1,20.6,1,0,12.97,0,414,414
156172,30,1,42.4,1,1,8.02,0,397,397
160283,0,1,20.6,1,1,12.97,1,550,550
181059,5,1,20.6,0,1,2.5,1,768,768
125059,46,1,65.1,0,1,2.5,0,430,430
196280,49,1,65.1,0,1,12.97,0,58,58
108827,7,1,20.6,0,1,8.02,0,423,423
111501,8,1,42.4,1,1,12.97,0,299,299
192032,6,1,20.6,1,1,12.97,0,376,376
196073,18,1,42.4,0,1,8.02,0,429,429
172196,6,1,20.6,1,1,12.97,1,620,620
171179,46,1,65.1,0,1,8.02,0,357,357
108405,50,1,65.1,0,1,12.97,0,37,37
110555,5,1,42.4,1,1,2.5,1,514,514
140775,22,1,42.4,1,1,8.02,0,383,383
184678,1,1,20.6,1,0,8.02,1,776,776
190636,18,1,42.4,1,1,2.5,1,688,688
137629,2,1,20.6,1,0,12.97,0,250,250
141654,13,1,42.4,0,0,12.97,0,151,151
174549,50,1,65.1,0,1,8.02,0,97,97
101976,53,1,65.1,0,1,8.02,0,156,156
125588,7,1,20.6,1,1,8.02,1,1036,1036
110830,5,1,20.6,0,1,8.02,0,466,466
101453,38,1,42.4,0,0,2.5,1,597,597
196143,31,1,42.4,1,0,2.5,1,515,515
146751,0,1,20.6,0,0,12.97,1,541,541
122609,45,1,65.1,0,0,2.5,0,35,35
128464,42,1,65.1,0,1,8.02,0,93,93
133656,5,1,20.6,1,1,12.97,1,655,655
107370,27,1,42.4,1,1,2.5,1,771,771
169611,36,1,42.4,1,1,8.02,1,555,555
164381,2,1,20.6,1,0,12.97,0,289,289
101325,8,1,20.6,0,0,12.97,0,320,320
187545,42,1,65.1,0,1,8.02,0,380,380
140733,17,1,42.4,1,1,8.02,0,403,403
163180,46,1,65.1,1,1,8.02,0,217,217
165026,22,1,42.4,0,1,12.97,0,275,275
103182,46,1,65.1,1,1,2.5,1,796,796
106285,43,1,65.1,1,1,8.02,0,56,56
109813,28,1,42.4,0,1,2.5,1,713,713
100018,10,1,42.4,1,0,12.97,0,141,141
135733,44,1,65.1,1,1,12.97,0,291,291
129730,39,1,65.1,1,0,2.5,0,203,203
103606,22,1,42.4,1,0,2.5,1,517,517
128663,26,1,42.4,0,0,12.97,0,202,202
126842,24,1,42.4,0,1,8.02,0,428,428
159663,6,1,20.6,0,1,12.97,1,516,516
121046,42,1,65.1,0,0,12.97,0,257,257
127128,15,1,42.4,0,0,2.5,0,376,376
159668,6,1,20.6,1,1,12.97,1,1070,1070
160863,28,1,42.4,1,0,12.97,0,371,371
180191,3,1,20.6,0,1,12.97,0,266,266
152361,31,1,42.4,0,0,8.02,0,312,312
140469,4,1,20.6,0,1,12.97,0,430,430
108018,39,1,42.4,1,1,2.5,1,818,818
112856,17,1,42.4,0,0,12.97,0,320,320
115581,0,1,20.6,0,0,12.97,0,183,183
156261,3,1,20.6,0,1,12.97,1,565,565
110157,43,1,65.1,0,0,8.02,0,110,110
150327,44,1,65.1,0,1,2.5,0,466,466
177062,45,1,65.1,1,1,12.97,0,173,173
179628,5,1,20.6,1,0,12.97,0,361,361
154549,3,1,20.6,0,0,2.5,1,837,837
174309,5,1,42.4,0,0,12.97,0,129,129
165949,0,1,20.6,0,1,8.02,0,485,485
143867,9,1,42.4,1,0,2.5,0,488,488
115293,5,1,20.6,1,0,2.5,1,990,990
124781,39,1,65.1,0,1,8.02,0,166,166
151108,2,1,20.6,0,0,12.97,0,167,167
134055,25,1,42.4,1,0,2.5,1,693,693
158875,4,1,20.6,1,0,12.97,1,513,513
199635,27,1,42.4,1,0,2.5,1,629,629
172931,23,1,42.4,1,1,8.02,0,438,438
110664,44,1,65.1,1,1,8.02,0,244,244
123896,6,1,20.6,1,0,8.02,0,479,479
198927,21,1,42.4,1,0,8.02,0,321,321
193212,0,1,20.6,1,0,8.02,0,328,328
110085,42,1,65.1,1,0,8.02,0,387,387
169347,4,1,20.6,1,0,12.97,0,235,235
167213,13,1,42.4,0,0,2.5,0,396,396
189632,47,1,65.1,1,1,12.97,0,66,66
167717,42,1,65.1,1,1,8.02,0,296,296
160508,11,1,42.4,0,0,12.97,0,159,159
125668,0,1,20.6,1,0,12.97,0,477,477
166836,11,1,42.4,0,1,2.5,1,509,509
154044,0,1,20.6,0,0,12.97,0,352,352
183078,34,1,42.4,0,0,2.5,1,523,523
193267,31,1,42.4,1,0,8.02,0,314,314
112976,9,1,42.4,1,1,12.97,0,201,201
114690,0,1,20.6,0,0,12.97,0,303,303
117370,5,1,20.6,0,1,8.02,1,788,788
135686,49,1,65.1,0,0,12.97,0,100,100
173662,0,1,20.6,0,0,12.97,0,250,250
174141,7,1,42.4,0,0,2.5,0,489,489
117625,28,1,42.4,1,0,2.5,1,562,562
150029,1,1,20.6,0,1,12.97,0,415,415
149512,2,1,20.6,0,1,8.02,1,778,778
181260,8,1,42.4,0,1,8.02,0,356,356
198494,28,1,42.4,1,0,12.97,0,357,357
161421,52,1,65.1,0,1,8.02,0,328,328
178940,33,1,42.4,0,0,8.02,0,301,301
127336,2,1,20.6,1,0,2.5,1,770,770
121232,23,1,42.4,1,0,2.5,1,689,689
178596,44,1,65.1,0,0,8.02,0,151,151
101155,13,1,42.4,0,1,2.5,1,696,696
168264,30,1,42.4,1,0,12.97,0,237,237
180115,0,1,20.6,0,0,12.97,0,310,310
158172,46,1,65.1,1,1,8.02,0,411,411
135272,22,1,42.4,0,1,2.5,1,629,629
160525,27,1,42.4,1,0,8.02,0,393,393
100210,35,1,42.4,0,0,2.5,1,572,572
111093,2,1,20.6,0,0,12.97,0,282,282
136861,12,1,42.4,1,1,8.02,0,455,455
199343,38,1,42.4,0,1,2.5,0,478,478
128605,36,1,42.4,1,1,12.97,0,193,193
164611,8,1,20.6,1,0,12.97,0,410,410
192220,34,1,42.4,1,1,12.97,1,509,509
191061,20,1,42.4,1,1,8.02,0,424,424
151362,28,1,42.4,0,1,12.97,0,344,344
187738,21,1,42.4,1,0,12.97,0,182,182
176775,8,1,42.4,0,0,12.97,0,161,161
159600,27,1,42.4,1,0,8.02,0,356,356
141403,8,1,20.6,0,0,12.97,0,329,329
171452,24,1,42.4,1,0,8.02,0,325,325
116796,46,1,65.1,0,1,8.02,0,455,455
118790,14,1,42.4,1,1,2.5,1,762,762
159938,44,1,65.1,0,1,12.97,0,290,290
147703,16,1,42.4,0,1,2.5,0,459,459
181163,20,1,42.4,0,0,12.97,0,259,259
168461,3,1,20.6,1,1,12.97,1,587,587
171559,50,1,65.1,1,0,2.5,0,159,159
168785,9,1,42.4,0,1,12.97,0,148,148
175417,34,1,42.4,0,0,8.02,0,309,309
140551,51,1,65.1,0,1,2.5,0,255,255
143561,20,1,42.4,1,1,8.02,1,517,517
161679,45,1,65.1,1,1,2.5,0,105,105
187609,44,1,65.1,0,0,2.5,0,40,40
164350,50,1,65.1,1,0,2.5,0,302,302
147658,9,1,42.4,0,0,8.02,0,311,311
196071,5,1,20.6,1,0,12.97,0,336,336
173780,6,1,20.6,0,0,12.97,0,198,198
120744,50,1,65.1,0,0,2.5,0,82,82
152233,28,1,42.4,0,1,8.02,0,408,408
101429,41,1,65.1,1,1,12.97,0,36,36
100994,53,1,65.1,1,1,12.97,0,320,320
133327,32,1,42.4,0,1,2.5,1,590,590
196564,31,1,42.4,0,1,2.5,1,526,526
171515,13,1,42.4,1,1,2.5,1,939,939
115864,7,1,20.6,1,0,12.97,1,554,554
162203,5,1,20.6,1,1,12.97,0,311,311
172979,15,1,42.4,0,1,2.5,1,878,878
142500,3,1,20.6,0,1,12.97,0,157,157
159595,1,1,20.6,0,1,12.97,1,520,520
154012,53,1,65.1,0,1,8.02,0,103,103
133980,4,1,20.6,1,0,12.97,1,547,547
130073,44,1,65.1,1,1,8.02,0,330,330
122265,2,1,20.6,1,0,12.97,1,655,655
141110,4,1,20.6,1,0,12.97,0,480,480
117962,0,1,20.6,0,0,8.02,1,517,517
120429,49,1,65.1,0,1,2.5,0,72,72
138510,44,1,65.1,1,1,2.5,0,131,131
102952,30,1,42.4,0,1,2.5,1,648,648
116550,47,1,42.4,1,0,12.97,0,341,341
189773,0,1,20.6,1,0,12.97,1,512,512
153902,4,1,20.6,1,0,12.97,0,252,252
129663,6,1,20.6,0,0,12.97,0,188,188
198193,44,1,65.1,0,1,2.5,0,154,154
169076,42,1,65.1,1,0,2.5,0,94,94
169427,32,1,42.4,1,0,12.97,0,208,208
166756,10,1,42.4,1,0,2.5,0,397,397
105539,4,1,20.6,0,0,8.02,0,296,296
169496,46,1,65.1,1,0,2.5,0,76,76
200391,27,1,42.4,0,0,2.5,0,449,449
117445,41,1,65.1,0,0,12.97,0,131,131
128507,16,1,42.4,1,0,12.97,0,147,147
190032,0,1,20.6,0,1,12.97,1,640,640
112590,5,1,20.6,1,0,8.02,0,420,420
137410,7,1,20.6,0,0,12.97,0,396,396
186036,0,1,20.6,1,0,8.02,0,478,478
105765,9,1,42.4,0,0,8.02,0,293,293
182237,29,1,42.4,0,0,2.5,1,528,528
110357,0,1,20.6,0,0,12.97,0,247,247
196401,49,1,65.1,1,0,2.5,0,169,169
119519,9,1,42.4,1,1,8.02,0,440,440
196503,0,1,42.4,0,0,8.02,0,290,290
192607,7,1,20.6,1,1,12.97,1,682,682
124865,48,1,65.1,0,0,2.5,0,162,162
194944,28,1,42.4,0,1,12.97,0,238,238
187015,19,1,42.4,1,1,2.5,1,726,726
165695,31,1,42.4,1,1,2.5,1,729,729
153893,32,1,42.4,1,1,8.02,0,445,445
167349,23,1,42.4,0,1,8.02,0,427,427
140976,33,1,42.4,1,0,12.97,0,265,265
185143,2,1,20.6,1,0,12.97,0,317,317
136163,1,1,20.6,0,0,12.97,0,356,356
125842,49,1,65.1,1,1,2.5,1,639,639
159297,40,1,65.1,1,0,12.97,0,152,152
100408,15,1,42.4,1,0,2.5,1,599,599
188214,0,1,20.6,0,0,8.02,0,382,382
101548,2,1,20.6,1,0,8.02,0,340,340
107666,45,1,65.1,0,0,8.02,0,97,97
192742,17,1,42.4,1,0,12.97,0,168,168
127036,0,1,20.6,0,1,12.97,1,622,622
178574,14,1,42.4,0,0,12.97,0,197,197
148317,8,1,42.4,1,1,8.02,0,490,490
169827,4,1,20.6,1,0,12.97,0,308,308
158864,31,1,42.4,0,1,2.5,1,581,581
149804,14,1,42.4,0,0,8.02,0,325,325
178723,15,1,42.4,1,0,2.5,1,547,547
158387,40,1,42.4,0,1,8.02,0,379,379
197918,41,1,65.1,0,0,8.02,0,123,123
129981,49,1,65.1,1,0,2.5,0,402,402
194863,40,1,65.1,1,0,8.02,0,39,39
182161,5,1,20.6,1,0,12.97,1,605,605
180475,21,1,42.4,1,1,8.02,0,352,352
140740,32,1,42.4,0,1,12.97,0,323,323
169171,7,1,20.6,1,0,12.97,0,180,180
115611,46,1,65.1,0,0,8.02,0,300,300
152972,6,1,20.6,1,0,12.97,1,584,584
152327,38,1,42.4,0,1,8.02,0,484,484
107571,8,1,42.4,1,0,8.02,0,425,425
172758,43,1,65.1,0,0,12.97,0,41,41
126567,42,1,65.1,0,1,8.02,0,127,127
191861,31,1,42.4,1,0,8.02,0,332,332
126307,35,1,42.4,1,0,8.02,0,382,382
101826,15,1,42.4,1,0,12.97,0,202,202
151310,0,1,20.6,1,0,8.02,0,449,449
196931,0,1,20.6,0,0,12.97,0,479,479
128634,46,1,65.1,1,0,8.02,0,207,207
161597,51,1,65.1,1,1,8.02,0,48,48
109884,0,1,20.6,1,0,12.97,0,333,333
169116,12,1,42.4,1,1,2.5,1,801,801
190939,1,1,20.6,0,0,12.97,0,182,182
185233,46,1,65.1,0,0,8.02,0,208,208
118109,49,1,65.1,0,0,12.97,0,45,45
160237,30,1,42.4,0,1,8.02,0,390,390
177000,4,1,20.6,1,0,8.02,0,456,456
189028,40,1,42.4,1,1,2.5,1,780,780
161478,0,1,20.6,1,1,12.97,1,853,853
188298,43,1,65.1,1,0,2.5,0,298,298
171213,23,1,42.4,0,1,2.5,1,517,517
101617,6,1,20.6,0,1,12.97,0,227,227
125820,34,1,42.4,1,0,8.02,0,396,396
150893,3,1,20.6,0,1,12.97,0,238,238
